period,org_code,parent_org,org_name,a&e_attendances_type_1,a&e_attendances_type_2,a&e_attendances_other_a&e_department,a&e_attendances_booked_appointments_type_1,a&e_attendances_booked_appointments_type_2,a&e_attendances_booked_appointments_other_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,patients_who_have_waited_4-12_hs_from_dta_to_admission,patients_who_have_waited_12+_hrs_from_dta_to_admission,emergency_admissions_via_a&e_-_type_1,emergency_admissions_via_a&e_-_type_2,emergency_admissions_via_a&e_-_other_a&e_department,other_emergency_admissions,month,year,number_of_a&e_attendances_type_1,number_of_a&e_attendances_type_2,number_of_a&e_attendances_other_a&e_department,number_of_attendances_over_4hrs_type_1,number_of_attendances_over_4hrs_type_2,number_of_attendances_over_4hrs_other_a&e_department,total_a&e_attendances,date,attendance_zscore,is_outlier,is_anomaly,season,attendance_rolling_avg,attendance_lag_1
MSitAE-JANUARY-2020,NLT02,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),CLEVEDON HOSPITAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,1308.0,0.0,0.0,1.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RTE,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419.0,0.0,3656.0,0.0,0.0,937.0,1,2020,12624.0,0.0,0.0,3477.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RTR,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.0,8.0,2102.0,0.0,118.0,2598.0,1,2020,9273.0,0.0,4165.0,2132.0,0.0,6.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RQ8,NHS ENGLAND EAST OF ENGLAND (EAST),MID ESSEX HOSPITAL SERVICES NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.0,0.0,2704.0,0.0,0.0,700.0,1,2020,8707.0,0.0,548.0,2843.0,0.0,20.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RYG,NHS ENGLAND MIDLANDS (WEST MIDLANDS),COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,54.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RM3,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),SALFORD ROYAL NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.0,0.0,2831.0,0.0,0.0,402.0,1,2020,8681.0,0.0,4183.0,2332.0,0.0,5.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
0,0,0,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97732.0,2847.0,408501.0,1729.0,6311.0,142517.0,1,2020,1327234.0,49597.0,737878.0,338870.0,665.0,9241.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RVV,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1406.0,0.0,5357.0,0.0,250.0,1390.0,1,2020,15620.0,0.0,3279.0,4789.0,0.0,9.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,AXG,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),WILTSHIRE HEALTH & CARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,2676.0,0.0,0.0,80.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RWW,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1254.0,0.0,2971.0,0.0,0.0,278.0,1,2020,7007.0,0.0,2347.0,2192.0,0.0,44.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,R1H,NHS ENGLAND LONDON,BARTS HEALTH NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,12.0,8799.0,0.0,0.0,1770.0,1,2020,25529.0,881.0,17337.0,7376.0,5.0,591.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RDU,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",FRIMLEY HEALTH NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,2.0,5270.0,0.0,0.0,2070.0,1,2020,20216.0,0.0,0.0,0.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),BRANSHOLME HEALTH CENTRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,2935.0,0.0,0.0,24.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RYX,NHS ENGLAND LONDON,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,17841.0,0.0,0.0,291.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
