Code,System,Type 1 Departments,Type 2 Departments,Type 3 Departments,Total Attendances,Attendances < 4 hours (Type 1),Attendances < 4 hours (Type 2),Attendances < 4 hours (Type 3),Total Attendances < 4 hours,Attendances > 4 hours (Type 1),Attendances > 4 hours (Type 2),Attendances > 4 hours (Type 3),Total Attendances > 4 hours,Percentage in 4 hours (all),Percentage in 4 hours (Type 1),Percentage in 4 hours (Type 2),Percentage in 4 hours (Type 3),Emergency Admissions Type 1,Emergency Admissions Type 2,Emergency Admissions Type 3 and 4,Total Emergency Admissions via A&E,Other Emergency Admissions (not via A&E),Total Emergency Admissions,Patients spending >4 hours from decision to admit,Patients spending >12 hours from decision to admit,Month,Percentage_Under_4_Hours,Holiday_Event_Month
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",17493.0,355.0,10293.0,28141.0,9904.0,355.0,9733.0,19992.0,7589.0,0.0,560.0,8149.0,0.7104225151913578,0.5661693248728062,1,0.9455940930729622,5984.0,0.0,4.0,5988.0,4030.0,10018.0,1692.0,96.0,2,71.04225151913577,1
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",23953.0,0.0,16524.0,40477.0,14812.0,0.0,16328.0,31140.0,9141.0,0.0,196.0,9337.0,0.7693257899547892,0.6183776562434768,-,0.9881384652626483,6646.0,0.0,0.0,6646.0,2946.0,9592.0,706.0,6.0,2,76.93257899547892,1
QHL,NHS Birmingham And Solihull Integrated Care Board,37306.0,0.0,16376.0,53682.0,21366.0,0.0,16351.0,37717.0,15940.0,0.0,25.0,15965.0,0.702600499236243,0.5727228863989706,-,0.9984733756717147,11635.0,0.0,0.0,11635.0,5823.0,17458.0,4579.0,1808.0,2,70.26004992362431,1
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",23459.0,2252.0,7594.0,33305.0,14313.0,2122.0,7162.0,23597.0,9146.0,130.0,432.0,9708.0,0.7085122354000901,0.6101283089645765,0.9422735346358793,0.9431129839346852,7635.0,13.0,0.0,7648.0,3668.0,11316.0,2362.0,423.0,2,70.85122354000902,1
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",34233.0,5268.0,8500.0,48001.0,20331.0,5240.0,8043.0,33614.0,13902.0,28.0,457.0,14387.0,0.7002770775608842,0.5939006222066427,0.9946848899012908,0.9462352941176471,10316.0,990.0,41.0,11347.0,5864.0,17211.0,2365.0,341.0,2,70.02770775608842,1
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,23079.0,0.0,10934.0,34013.0,11199.0,0.0,10054.0,21253.0,11880.0,0.0,880.0,12760.0,0.6248493223179372,0.48524632783049526,-,0.9195171026156942,5640.0,0.0,151.0,5791.0,2197.0,7988.0,2625.0,1355.0,2,62.48493223179372,1
QYG,NHS Cheshire And Merseyside Integrated Care Board,72271.0,1677.0,46482.0,120430.0,38477.0,1455.0,42083.0,82015.0,33794.0,222.0,4399.0,38415.0,0.6810180187660881,0.5323988875205823,0.8676207513416816,0.9053612150940149,21515.0,107.0,0.0,21622.0,8376.0,29998.0,9454.0,4579.0,2,68.10180187660882,1
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,5595.0,0.0,10117.0,15712.0,2269.0,0.0,9607.0,11876.0,3326.0,0.0,510.0,3836.0,0.7558553971486762,0.40554066130473637,-,0.9495897993476327,1928.0,0.0,53.0,1981.0,1141.0,3122.0,1039.0,671.0,2,75.58553971486762,1
QWU,NHS Coventry And Warwickshire Integrated Care Board,25630.0,1817.0,9311.0,36758.0,16207.0,1647.0,9028.0,26882.0,9423.0,170.0,283.0,9876.0,0.731323793459927,0.6323449083105736,0.9064391854705559,0.9696058425518205,5840.0,80.0,107.0,6027.0,2225.0,8252.0,1536.0,385.0,2,73.1323793459927,1
QHM,NHS North East And North Cumbria Integrated Care Board,75611.0,2878.0,56873.0,135362.0,41483.0,2753.0,56019.0,100255.0,34128.0,125.0,854.0,35107.0,0.7406436075117093,0.5486371030670141,0.9565670604586518,0.9849840873525223,24585.0,36.0,704.0,25325.0,12033.0,37358.0,6605.0,719.0,2,74.06436075117094,1
QJK,NHS Devon Integrated Care Board,26393.0,138.0,12201.0,38732.0,12686.0,138.0,11725.0,24549.0,13707.0,0.0,476.0,14183.0,0.6338169988639885,0.4806577501610275,1,0.9609868043602984,8108.0,0.0,0.0,8108.0,4698.0,12806.0,2719.0,840.0,2,63.38169988639885,1
QVV,NHS Dorset Integrated Care Board,17041.0,0.0,7012.0,24053.0,9661.0,0.0,7006.0,16667.0,7380.0,0.0,6.0,7386.0,0.6929281170747932,0.5669268235432193,-,0.9991443240159726,5440.0,1.0,1.0,5442.0,2729.0,8171.0,1339.0,221.0,2,69.29281170747932,1
QMF,NHS North East London Integrated Care Board,46294.0,3292.0,36339.0,85925.0,27460.0,2589.0,32339.0,62388.0,18834.0,703.0,4000.0,23537.0,0.7260750654640675,0.5931654210048818,0.7864520048602673,0.8899254244750818,13919.0,0.0,0.0,13919.0,1932.0,15851.0,3179.0,1301.0,2,72.60750654640675,1
QNQ,NHS Frimley Integrated Care Board,21684.0,639.0,8386.0,30709.0,12093.0,639.0,8279.0,21011.0,9591.0,0.0,107.0,9698.0,0.6841968152658829,0.5576923076923077,1,0.9872406391605056,6169.0,0.0,0.0,6169.0,300.0,6469.0,2354.0,166.0,2,68.41968152658829,1
QR1,NHS Gloucestershire Integrated Care Board,12040.0,0.0,6326.0,18366.0,6790.0,0.0,6303.0,13093.0,5250.0,0.0,23.0,5273.0,0.7128933899597082,0.563953488372093,-,0.9963642111919064,2764.0,0.0,0.0,2764.0,1726.0,4490.0,1303.0,934.0,2,71.28933899597082,1
QOP,NHS Greater Manchester Integrated Care Board,82418.0,3605.0,30481.0,116504.0,41181.0,3487.0,28320.0,72988.0,41237.0,118.0,2161.0,43516.0,0.6264849275561354,0.4996602683879735,0.9672676837725381,0.929103375873495,20928.0,185.0,673.0,21786.0,5396.0,27182.0,11412.0,3463.0,2,62.64849275561354,1
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,37282.0,2041.0,21801.0,61124.0,20687.0,1919.0,21022.0,43628.0,16595.0,122.0,779.0,17496.0,0.7137621883384595,0.554879030094952,0.9402253797158255,0.9642676941424705,11576.0,10.0,1.0,11587.0,5613.0,17200.0,3212.0,189.0,2,71.37621883384595,1
