period,org_code,parent_org,org_name,a&e_attendances_type_1,a&e_attendances_type_2,a&e_attendances_other_a&e_department,a&e_attendances_booked_appointments_type_1,a&e_attendances_booked_appointments_type_2,a&e_attendances_booked_appointments_other_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,patients_who_have_waited_4-12_hs_from_dta_to_admission,patients_who_have_waited_12+_hrs_from_dta_to_admission,emergency_admissions_via_a&e_-_type_1,emergency_admissions_via_a&e_-_type_2,emergency_admissions_via_a&e_-_other_a&e_department,other_emergency_admissions,month,year,percentage_seen_within_4_hours,number_of_a&e_attendances_type_1,number_of_a&e_attendances_type_2,number_of_a&e_attendances_other_a&e_department,number_of_attendances_over_4hrs_type_1,number_of_attendances_over_4hrs_type_2,number_of_attendances_over_4hrs_other_a&e_department,log_attendances,total_a&e_attendances
MSitAE-JANUARY-2019,NTV0W,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",WOKING WALK IN CENTRE,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,1059020.2857142857,0.0,3464.0,256704.42857142855,0.0,10.0,8.538367426647644,4212.832078240578
MSitAE-JANUARY-2019,NJS05,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),LOUGHBOROUGH URGENT CARE CENTRE,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,883712.5714285714,0.0,4484.0,214180.85714285716,0.0,40.0,8.538367426647644,4231.205974662974
MSitAE-JANUARY-2019,Y02428,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),PUTNOE MEDICAL CENTRE WALK IN CENTRE,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,708404.8571428572,0.0,1906.0,171657.2857142857,0.0,0.0,8.538367426647644,4249.5798710853705
MSitAE-JANUARY-2019,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,533097.1428571428,0.0,4675.0,129133.71428571428,0.0,2.0,8.538367426647644,4267.953767507766
MSitAE-JANUARY-2019,NR3,NHS ENGLAND MIDLANDS AND EAST (NORTH MIDLANDS),NOTTINGHAM CITYCARE PARTNERSHIP,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,357789.4285714285,0.0,4818.0,86610.14285714287,0.0,16.0,8.538367426647644,4286.327663930163
MSitAE-JANUARY-2019,RDY,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,January,2019,92.47943595769684,182481.71428571423,0.0,0.0,44086.571428571435,0.0,0.0,8.538367426647644,4304.701560352559
MSitAE-JANUARY-2019,RVY,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,518.0,13.0,2782.0,0.0,0.0,52.0,January,2019,92.47943595769684,7174.0,0.0,2782.0,1563.0,0.0,52.0,8.538367426647644,4323.0754567749555
MSitAE-JANUARY-2019,RY7,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),WIRRAL COMMUNITY NHS FOUNDATION TRUST,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,7366.066666666667,0.0,4402.0,1716.0,0.0,21.0,8.538367426647644,4341.449353197351
MSitAE-JANUARY-2019,NTV0B,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",ASHFORD WALK-IN-CENTRE,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,7558.133333333333,0.0,3722.0,1869.0,0.0,0.0,8.538367426647644,4359.823249619748
MSitAE-JANUARY-2019,Y02615,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),SOUTH BIRMINGHAM GP WALK IN CENTRE,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,7750.2,0.0,6230.0,2022.0,0.0,0.0,8.538367426647644,4378.197146042144
MSitAE-JANUARY-2019,Y02532,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),MIRIAM MINOR EMERGENCY,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,7942.266666666666,0.0,1902.0,2175.0,0.0,0.0,8.538367426647644,4396.57104246454
MSitAE-JANUARY-2019,8J094,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),BADGER LTD,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,8134.333333333333,0.0,3315.0,2328.0,0.0,0.0,8.538367426647644,4414.944938886937
MSitAE-JANUARY-2019,Y02961,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),SUMMERFIELD GP SURG & URGENT CARE CENTRE,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,8326.4,0.0,3054.0,2481.0,0.0,0.0,8.538367426647644,4433.318835309333
MSitAE-JANUARY-2019,Y02533,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),PARKFIELD (H) MINOR EMERGENCY,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,8518.466666666667,0.0,320.0,2634.0,0.0,0.0,8.538367426647644,4451.6927317317295
MSitAE-JANUARY-2019,Y03645,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),MORETON HEALTH MINOR INJURY,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,8710.533333333333,0.0,381.0,2787.0,0.0,0.0,8.538367426647644,4470.066628154125
MSitAE-JANUARY-2019,Y02572,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),PARK COMMUNITY PRACTICE,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,8902.6,0.0,763.0,2940.0,0.0,0.0,8.538367426647644,4488.440524576522
MSitAE-JANUARY-2019,Y03007,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),ERDINGTON GP HEALTH & WELLBEING WIC,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,9094.666666666666,0.0,2808.0,3093.0,0.0,0.0,8.538367426647644,4506.814420998918
MSitAE-JANUARY-2019,RYF,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,9286.733333333334,0.0,1552.0,3246.0,0.0,13.0,8.538367426647644,4525.188317421314
MSitAE-JANUARY-2019,AXT02,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),SHAKESPEARE WALK-IN CENTRE,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,9478.8,0.0,4062.0,3399.0,0.0,0.0,8.538367426647644,4543.56221384371
MSitAE-JANUARY-2019,NLX24,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),YATE WEST GATE CENTRE,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,9670.866666666669,0.0,1523.0,3552.0,0.0,3.0,8.538367426647644,4561.936110266107
MSitAE-JANUARY-2019,Y02696,NHS ENGLAND LONDON,EDMONTON GP WALK IN CENTRE,5106.0,0.0,1813.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,2019,92.47943595769684,9862.933333333332,0.0,1236.0,3705.0,0.0,0.0,8.538367426647644,4580.310006688503
